,word,meaning,tags
825,Savant ,A person with a mental disorder or significant intellectual deficits who has some extraordinary ability despite the disorder or deficits.,AbPsych
826,Schizoid personality disorder ,A disorder in which symptoms of both schizophrenia and a mood disorder are prominent. A personality disorder in which a person persistently avoids social relationships and shows little emotional expression. ,AbPsych
827,Schizophrenia ,"A psychotic disorder in which personal, social, and occupational functioning deteriorate as a result of strange perceptions, disturbed thought processes, unusual emotions, and motor abnormalities. ",AbPsych
828,Schizophreniform disorder ,A disorder in which all of the key features of schizophrenia are present but last only between one and six months. ,AbPsych
829,Schizophrenogenic mother ,"A type of mother—supposedly cold, domineering, and uninterested in the needs of others— who was once thought to cause schizophrenia in the child. ",AbPsych
830,Schizotypal personality disorder,"A personality disorder in which a person displays a pattern of interpersonal problems marked by extreme discomfort in close relationships, odd forms of thinking and perceiving, and behavioral eccentricities. ",AbPsych
831,School phobia ,Also called school refusal. A childhood pattern in which children fear going to school and often stay home for a long period of time. ,AbPsych
832,Scientific method ,The process of systematically gathering and evaluating information through careful observations to gain an understanding of a phenomenon. ,AbPsych
833,Seasonal affective disorder (SAD) ,A mood disorder in which mood episodes are related to changes in season. ,AbPsych
834,Seasonal pattern,A pattern of the occurrence of a specific mental disorder in selected seasons of the year.,AbPsych
835,Second messengers ,Chemical changes within a neuron just after the neuron receives a neurotransmitter message and just before it responds. ,AbPsych
836,Secondary gain ,"In psychodynamic theory, the gain achieved when hysterical symptoms elicit kindness from others or provide an excuse for avoiding unpleasant activities. ",AbPsych
837,Secondary prevention ,"Prevention interventions that seek to address disorders quickly, before they become more serious problems.",AbPsych
838,Second-generation antidepressants ,New antidepressant drugs that differ structurally from tricyclics and MAO inhibitors. ,AbPsych
839,Sedative-hypnotic drug,Also called anxiolytic drug.  A drug used in low doses to reduce anxiety and in higher doses to help people sleep. ,AbPsych
840,Selective amnesia ,An inability to recall some of the events that occurred over a limited period of time. ,AbPsych
841,Selective serotonin reuptake inhibitors (SSRIs) ,A group of second-generation antidepressant drugs that increase serotonin activity specifically without affecting other neurotransmitters. ,AbPsych
842,Self theory ,The psychodynamic theory that emphasizes the role of the self—a person’s unified personality.,AbPsych
843,Self-actualization ,The humanistic process by which people fulfill their potential for goodness and growth. ,AbPsych
844,"Self-directedness, self-direction",Pursuit of coherent and meaningful short-term and life goals; utilization of constructive and prosocial internal standards of behavior; ability to self-reflect productively.,AbPsych
845,Self-efficacy ,The judgment that one can master and perform needed behaviors whenever necessary.,AbPsych
846,Self-help group ,Also called mutual help group. A group made up of people with similar problems who help and support one another without the direct leadership of a clinician. ,AbPsych
847,Self-hypnosis ,"The process of hypnotizing oneself—for example, to forget unpleasant events. ",AbPsych
848,Self-instruction training ,Also called stress inoculation training. A cognitive treatment developed by Donald Meichenbaum that teaches people to use coping self-statements at times of stress or discomfort. ,AbPsych
849,Self-monitoring ,Clients’ observation of their own behavior. ,AbPsych
850,Self-statements ,"According to some cognitive theorists, statements about oneself, sometimes counterproductive, that come to mind during stressful situations. ",AbPsych
851,Senile ,Characteristic of or associated with old age. ,AbPsych
