,Level,,Items,,A,,B,,C ,,D,CORRECT ANSWERS,RATIONALE,,,,,,
,E,1,Which of the following was mentioned as a skill to which psychology students would be exposed?,,Critical thinking,,Use of the scientific method,,Critical evaluation of sources of information ,,All of the above,D,Psychology students hone critical thinking skills and are trained in the use of the scientific method.,,,,,,Psychology students hone critical thinking skills and are trained in the use of the scientific method.
,E,2,Psyche is a Greek word meaning ________. ,,Essence,,Soul,,Behavior,,Love,B,Distractor item,,,,,,
,E,3,"Before psychology became a recognized academic discipline, matters of the mind were undertaken by those in ________. ",,Biology,,Chemistry,,Philosophy,,Physics,C,Distractor item,,,,,,
,E,4,"In the scientific method, a hypothesis is a(n) ________. . ",,Observation,,Measurement,,Test,,Proposed explanation,D,"A psychological test is any standardized instrument, including scales and self-report inventories, used to measure behavior or mental attributes, such as attitudes, emotional functioning, intelligence and cognitive abilities (reasoning, comprehension, abstraction, etc.), aptitudes, values, interests, and personality characteristics. ",,,,,,"Observation consists of receiving knowledge of the outside world through our senses, or recording information using scientific tools and instruments. Any data recorded during an experiment can be called an observation.Measurement is the assignment of scores to individuals so that the scores represent some characteristic of the individuals. Psychological measurement can be achieved in a wide variety of ways, including self-report, behavioral, and physiological measures.A psychological test is any standardized instrument, including scales and self-report inventories, used to measure behavior or mental attributes, such as attitudes, emotional functioning, intelligence and cognitive abilities (reasoning, comprehension, abstraction, etc.), aptitudes, values, interests, and personality characteristics. "
,A,5,Which theorist would have been most likely to agree with this statement: Perceptual phenomena are best understood as a combination of their components. ,,William James,,Max Wertheimer ,, Carl Rogers,,Noam Chomsky,B,Noam Chomsky's theory of universal grammar says that we're all born with an innate understanding of the way language works.,,,,,,"William James developed functionalism to search for consciousness and behavior. Functionalism is concerned with explaining the function or purpose of certain forms of behavior, namely that of consciousness or our internal mental states. This theoretical perspective on psychology sought causal relationships between internal states and external behaviors. Carl Rogers believed that humans have one basic motive, that is the tendency to self-actualize. In order to achieve self-actualization, they must be in a state of congruence.Noam Chomsky's theory of universal grammar says that we're all born with an innate understanding of the way language works."
,E,6,________ is most well-known for proposing his hierarchy of needs. ,,Noam Chomsky,,Carl Rogers,,Abraham Maslow,,Sigmund Freud,C,"Freud is known be the the founder of the school of psychoanalysis. Basically, psychoanalysis sought to bring unconscious information into conscious awareness in order to bring about catharsis. This catharsis was an emotional release that could bring about relief from psychological distress. ",,,,,,"Noam Chomsky's theory of universal grammar says that we're all born with an innate understanding of the way language works.Carl Rogers believed that humans have one basic motive, that is the tendency to self-actualize. In order to achieve self-actualization, they must be in a state of congruence.Freud is known be the the founder of the school of psychoanalysis. Basically, psychoanalysis sought to bring unconscious information into conscious awareness in order to bring about catharsis. This catharsis was an emotional release that could bring about relief from psychological distress. "
,D,7,"Rogers believed that providing genuineness, empathy, and ________ in the therapeutic environment for his clients was critical to their being able to deal with their problems. ",,Structuralism,,Functionalism,,Gestalt,,Unconditional positive regard,D,"Gestalt psychology is a school of thought that looks at the human mind and behavior as a whole. When trying to make sense of the world around us, Gestalt psychology suggests that we do not simply focus on every small component. Instead, our minds tend to perceive objects as part of a greater whole and as elements of more complex systems.",,,,,,"Structuralism was the first school of psychology which focused on breaking down mental processes into the most basic components of consciousness via introspection.Functionalism is concerned with explaining the function or purpose of certain forms of behavior, namely that of consciousness or our internal mental states. This theoretical perspective on psychology sought causal relationships between internal states and external behaviors. Gestalt psychology is a school of thought that looks at the human mind and behavior as a whole. When trying to make sense of the world around us, Gestalt psychology suggests that we do not simply focus on every small component. Instead, our minds tend to perceive objects as part of a greater whole and as elements of more complex systems."
,E,8,The operant conditioning chamber (aka ________ box) is a device used to study the principles of operant conditioning. ,,Skinner,,Watson,,James,,Koffka,A,"In 1910, Kurt Koffka worked alongside Max Wertheimer and Wolfgang Köhler at the Psychological Institute in Frankfurt. They focused their research on sensory information and memory, and later became the founding fathers of Gestalt psychology. ",,,,,,"John B. Watson was one of the founders of the school of behaviorism. He believed that psychology should primarily be scientific observable behavior. He is remembered for his research on the conditioning process. Watson is also known for the Little Albert experiment, in which he demonstrated that a child could be conditioned to fear a previously neutral stimulus.William James developed functionalism to search for consciousness and behavior. Functionalism is concerned with explaining the function or purpose of certain forms of behavior, namely that of consciousness or our internal mental states. This theoretical perspective on psychology sought causal relationships between internal states and external behaviors. In 1910, Kurt Koffka worked alongside Max Wertheimer and Wolfgang Köhler at the Psychological Institute in Frankfurt. They focused their research on sensory information and memory, and later became the founding fathers of Gestalt psychology. "
,E,9,A researcher interested in how changes in the cells of the hippocampus (a structure in the brain related to learning and memory) are related to memory formation would be most likely to identify as a(n) ________ psychologist.,,Biological,,Health,,Clinical,,Social,A,Social psychology focuses on how we interact with and relate to others.,,,,,,"The scientific study of how stress and other psychological factors impact health falls within the realm of health psychology, a subfield of psychology devoted to understanding the importance of psychological influences on health, illness, and how people respond when they become ill. Clinical psychology is an area of psychology that focuses on the diagnosis and treatment of psychological disorders and other problematic patterns of behavior. Social psychology focuses on how we interact with and relate to others."
,E,10,x,,Psychosexual stage,,Object permanence,,Personality,,Perception,C,"Perception refers to the way sensory information is organized, interpreted, and consciously experienced. ",,,,,,"According to Freud, an individual goes through various psychosexual stages of development. Adult personality would result from the resolution of various conflicts that centered on tghe migration of erogenous (or sexual pleasure-producing) zones from the oral (mouth) to the anus to the phallus to the genitals. Object permanence refers to the understanding that physical things continue to exist, even if they are hidden from us.Perception refers to the way sensory information is organized, interpreted, and consciously experienced. "
